Country,Life expectancy,Out of pocket health expenditure
Afghanistan,64.5,78.4
Albania,78.5,56.9
Algeria,76.7,28.1
Angola,60.8,33.4
Antigua and Barbuda,76.9,24.3
Argentina,76.5,17.6
Armenia,74.9,81.6
Australia,82.7,19.6
Austria,81.6,17.9
Azerbaijan,72.9,78.6
The Bahamas,73.8,27.8
Bahrain,77.2,25.1
Bangladesh,72.3,71.8
Barbados,79.1,45.2
Belarus,74.2,34.5
Belgium,81.6,17.6
Belize,74.5,22.7
Benin,61.5,40.5
Bhutan,71.5,19.8
Bolivia,71.2,25.9
Bosnia and Herzegovina,77.3,28.6
Botswana,69.3,5.3
Brazil,75.7,28.3
Brunei,75.7,6.0
Bulgaria,74.9,47.7
Burkina Faso,61.2,36.1
Burundi,61.2,19.1
Ivory Coast,57.4,36.0
Cape Verde,72.8,23.2
Cambodia,69.6,59.4
Cameroon,58.9,69.7
Canada,81.9,14.6
Central African Republic,52.8,39.6
Chad,54.0,56.4
Chile,80.0,32.2
China,77.0,32.4
Colombia,77.1,18.3
Comoros,64.1,74.8
Republic of the Congo,64.3,43.8
Costa Rica,80.1,21.5
Croatia,78.1,15.2
Cyprus,80.8,43.9
Czech Republic,79.0,14.8
Democratic Republic of the Congo,60.4,37.4
Denmark,81.0,13.7
Djibouti,66.6,20.4
Dominica,76.6,28.4
Dominican Republic,73.9,43.7
Ecuador,76.8,43.7
Egypt,71.8,62.0
El Salvador,73.1,27.9
Equatorial Guinea,58.4,72.0
Eritrea,65.9,52.4
Estonia,78.2,22.8
Ethiopia,66.2,37.8
Fiji,67.3,21.4
Finland,81.7,19.9
France,82.5,6.8
Gabon,66.2,25.9
The Gambia,61.7,20.3
Georgia,73.6,57.3
Germany,80.9,12.5
Ghana,63.8,36.1
Greece,81.3,35.5
Grenada,72.4,57.0
Guatemala,74.1,55.8
Guinea,61.2,54.5
Guinea-Bissau,58.0,37.2
Guyana,69.8,40.5
Haiti,63.7,36.3
Honduras,75.1,49.1
Hungary,75.8,29.0
Iceland,82.7,17.0
India,69.4,65.1
Indonesia,71.5,48.3
Iran,76.5,39.7
Iraq,70.5,76.5
Republic of Ireland,82.3,15.2
Israel,82.8,24.4
Italy,82.9,22.8
Jamaica,74.4,23.7
Japan,84.2,13.1
Jordan,74.4,25.1
Kazakhstan,73.2,38.8
Kenya,66.3,33.4
Kiribati,68.1,0.2
Kuwait,75.4,14.4
Kyrgyzstan,71.4,48.2
Laos,67.6,45.4
Latvia,74.7,41.6
Lebanon,78.9,32.1
Lesotho,53.7,16.9
Liberia,63.7,19.6
Libya,72.7,36.7
Lithuania,75.7,32.1
Luxembourg,82.1,10.6
Madagascar,66.7,21.7
Malawi,63.8,11.0
Malaysia,76.0,36.7
Maldives,78.6,16.4
Mali,58.9,46.3
Malta,82.3,37.1
Marshall Islands,65.2,10.0
Mauritania,64.7,48.2
Mauritius,74.4,50.7
Mexico,75.0,41.4
Federated States of Micronesia,67.8,2.5
Moldova,71.8,46.2
Mongolia,69.7,39.3
Montenegro,76.8,31.8
Morocco,76.5,53.1
Mozambique,60.2,6.8
Myanmar,66.9,73.9
Namibia,63.4,8.3
Nepal,70.5,60.4
Netherlands,81.8,12.3
New Zealand,81.9,12.6
Nicaragua,74.3,36.0
Niger,62.0,52.3
Nigeria,54.3,72.2
Norway,82.8,14.3
Oman,77.6,6.4
Pakistan,67.1,66.5
Palau,69.1,21.8
Panama,78.3,30.5
Papua New Guinea,64.3,5.8
Paraguay,74.1,36.5
Peru,76.5,30.9
Philippines,71.1,53.5
Poland,77.6,23.2
Portugal,81.3,27.7
Qatar,80.1,6.2
Romania,75.4,21.3
Russia,72.7,36.4
Rwanda,68.7,26.0
Saint Kitts and Nevis,71.3,56.6
Saint Lucia,76.1,48.4
Saint Vincent and the Grenadines,72.4,21.4
Samoa,73.2,11.5
San Marino,85.4,18.3
S�����������,70.2,11.7
Saudi Arabia,75.0,15.0
Senegal,67.7,44.2
Serbia,75.5,40.6
Seychelles,72.8,2.5
Sierra Leone,54.3,38.2
Singapore,83.1,36.7
Slovakia,77.2,18.4
Slovenia,81.0,12.5
Solomon Islands,72.8,3.3
South Africa,63.9,7.7
South Korea,82.6,36.8
South Sudan,57.6,61.3
Spain,83.3,24.2
Sri Lanka,76.8,38.4
Sudan,65.1,63.2
Suriname,71.6,10.1
Sweden,82.5,15.2
Switzerland,83.6,28.3
Syria,71.8,53.7
Tajikistan,70.9,63.1
Tanzania,65.0,26.1
Thailand,76.9,11.8
East Timor,69.3,10.2
Togo,60.8,51.0
Tonga,70.8,10.2
Trinidad and Tobago,73.4,37.3
Tunisia,76.5,39.8
Turkey,77.4,16.9
Turkmenistan,68.1,71.1
Uganda,63.0,40.5
Ukraine,71.6,47.8
United Arab Emirates,77.8,17.8
United Kingdom,81.3,14.8
United States,78.5,11.1
Uruguay,77.8,16.2
Uzbekistan,71.6,42.7
Vanuatu,70.3,8.9
Venezuela,72.1,45.8
Vietnam,75.3,43.5
Yemen,66.1,81.0
Zambia,63.5,27.5
Zimbabwe,61.2,25.8
