Country,Life Expectancy,Total Tax Rate (%)
Afghanistan,64.5,71.40
Albania,78.5,36.60
Algeria,76.7,66.10
Angola,60.8,49.10
Antigua and Barbuda,76.9,43.00
Argentina,76.5,106.30
Armenia,74.9,22.60
Australia,82.7,47.40
Austria,81.6,51.40
Azerbaijan,72.9,40.70
The Bahamas,73.8,33.80
Bahrain,77.2,13.80
Bangladesh,72.3,33.40
Barbados,79.1,35.60
Belarus,74.2,53.30
Belgium,81.6,55.40
Belize,74.5,31.10
Benin,61.5,48.90
Bhutan,71.5,35.30
Bolivia,71.2,83.70
Bosnia and Herzegovina,77.3,23.70
Botswana,69.3,25.10
Brazil,75.7,65.10
Brunei,75.7,8.00
Bulgaria,74.9,28.30
Burkina Faso,61.2,41.30
Burundi,61.2,41.20
Ivory Coast,57.4,50.10
Cape Verde,72.8,37.50
Cambodia,69.6,23.10
Cameroon,58.9,57.70
Canada,81.9,24.50
Central African Republic,52.8,73.30
Chad,54.0,63.50
Chile,80.0,34.00
China,77.0,59.20
Colombia,77.1,71.20
Comoros,64.1,219.60
Republic of the Congo,64.3,54.30
Costa Rica,80.1,58.30
Croatia,78.1,20.50
Cyprus,80.8,22.40
Czech Republic,79.0,46.10
Democratic Republic of the Congo,60.4,50.70
Denmark,81.0,23.80
Djibouti,66.6,37.90
Dominica,76.6,32.60
Dominican Republic,73.9,48.80
Ecuador,76.8,34.40
Egypt,71.8,44.40
El Salvador,73.1,36.40
Equatorial Guinea,58.4,79.40
Eritrea,65.9,83.70
Estonia,78.2,47.80
Ethiopia,66.2,37.70
Fiji,67.3,32.10
Finland,81.7,36.60
France,82.5,60.70
Gabon,66.2,47.10
The Gambia,61.7,48.40
Georgia,73.6,9.90
Germany,80.9,48.80
Ghana,63.8,55.40
Greece,81.3,51.90
Grenada,72.4,47.80
Guatemala,74.1,35.20
Guinea,61.2,69.30
Guinea-Bissau,58.0,45.50
Guyana,69.8,30.60
Haiti,63.7,42.70
Honduras,75.1,39.10
Hungary,75.8,37.90
Iceland,82.7,31.90
India,69.4,49.70
Indonesia,71.5,30.10
Iran,76.5,44.70
Iraq,70.5,30.80
Republic of Ireland,82.3,26.10
Israel,82.8,25.30
Italy,82.9,59.10
Jamaica,74.4,35.10
Japan,84.2,46.70
Jordan,74.4,28.60
Kazakhstan,73.2,28.40
Kenya,66.3,37.20
Kiribati,68.1,32.70
Kuwait,75.4,13.00
Kyrgyzstan,71.4,29.00
Laos,67.6,24.10
Latvia,74.7,38.10
Lebanon,78.9,32.20
Lesotho,53.7,13.60
Liberia,63.7,46.20
Libya,72.7,32.60
Liechtenstein,83.0,21.60
Lithuania,75.7,42.60
Luxembourg,82.1,20.40
Madagascar,66.7,38.30
Malawi,63.8,34.50
Malaysia,76.0,38.70
Maldives,78.6,30.20
Mali,58.9,54.50
Malta,82.3,44.00
Marshall Islands,65.2,65.90
Mauritania,64.7,67.00
Mauritius,74.4,22.20
Mexico,75.0,55.10
Federated States of Micronesia,67.8,60.50
Moldova,71.8,38.70
Mongolia,69.7,25.70
Montenegro,76.8,22.20
Morocco,76.5,45.80
Mozambique,60.2,36.10
Myanmar,66.9,31.20
Namibia,63.4,20.70
Nepal,70.5,41.80
Netherlands,81.8,41.20
New Zealand,81.9,34.60
Nicaragua,74.3,60.60
Niger,62.0,47.20
Nigeria,54.3,34.80
Norway,82.8,36.20
Oman,77.6,27.40
Pakistan,67.1,33.90
Palau,69.1,76.60
Panama,78.3,37.20
Papua New Guinea,64.3,37.10
Paraguay,74.1,35.00
Peru,76.5,36.80
Philippines,71.1,43.10
Poland,77.6,40.80
Portugal,81.3,39.80
Qatar,80.1,11.30
Romania,75.4,20.00
Russia,72.7,46.20
Rwanda,68.7,33.20
Saint Kitts and Nevis,71.3,49.70
Saint Lucia,76.1,34.70
Saint Vincent and the Grenadines,72.4,37.00
Samoa,73.2,19.30
San Marino,85.4,36.20
S�����������,70.2,37.00
Saudi Arabia,75.0,15.70
Senegal,67.7,44.80
Serbia,75.5,36.60
Seychelles,72.8,30.10
Sierra Leone,54.3,30.70
Singapore,83.1,21.00
Slovakia,77.2,49.70
Slovenia,81.0,31.00
Solomon Islands,72.8,32.00
South Africa,63.9,29.20
South Korea,82.6,33.20
South Sudan,57.6,31.40
Spain,83.3,47.00
Sri Lanka,76.8,55.20
Sudan,65.1,45.40
Suriname,71.6,27.90
Sweden,82.5,49.10
Switzerland,83.6,28.80
Syria,71.8,42.70
Tajikistan,70.9,67.30
Tanzania,65.0,43.80
Thailand,76.9,29.50
East Timor,69.3,17.30
Togo,60.8,48.20
Tonga,70.8,27.50
Trinidad and Tobago,73.4,40.50
Tunisia,76.5,60.70
Turkey,77.4,42.30
Uganda,63.0,33.70
Ukraine,71.6,45.20
United Arab Emirates,77.8,15.90
United Kingdom,81.3,30.60
United States,78.5,36.60
Uruguay,77.8,41.80
Uzbekistan,71.6,31.60
Vanuatu,70.3,8.50
Venezuela,72.1,73.30
Vietnam,75.3,37.60
Yemen,66.1,26.60
Zambia,63.5,15.60
Zimbabwe,61.2,31.60
